,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_New
0,FDA15,9.3,Low Fat,0.016047301,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,perishable
1,DRC01,5.92,Regular,0.019278216,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,non
2,FDN15,17.5,Low Fat,0.016760075,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,perishable
3,FDX07,19.2,Regular,0.05877842900000001,182.095,OUT010,1998,Medium,Tier 3,Grocery Store,732.38,perishable
4,NCD19,8.93,Non-Edible,0.049016517,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,Others
5,FDP36,10.395,Regular,0.062343432000000004,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088,non
6,FDO10,13.65,Regular,0.012741088999999999,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,non
7,FDP10,12.987879554655919,Low Fat,0.127469857,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636,non
8,FDH17,16.2,Regular,0.016687114,96.9726,OUT045,2002,Medium,Tier 2,Supermarket Type1,1076.5986,non
9,FDU28,19.2,Regular,0.09444959,187.8214,OUT017,2007,Medium,Tier 2,Supermarket Type1,4710.535,non
10,FDY07,11.8,Low Fat,0.05877842900000001,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,perishable
11,FDA03,18.5,Regular,0.045463773,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153,perishable
12,FDX32,15.1,Regular,0.1000135,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,perishable
13,FDS46,17.6,Regular,0.047257328,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076,non
14,FDF32,16.35,Low Fat,0.06802430000000001,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.4260000000002,perishable
15,FDP49,9.0,Regular,0.06908896099999999,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,perishable
16,NCB42,11.8,Non-Edible,0.008596051,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,Others
17,FDP49,9.0,Regular,0.06919637599999999,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982,perishable
18,DRI11,11.400327868852452,Low Fat,0.034237682,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.6679999999997,non
19,FDU02,13.35,Low Fat,0.10249212,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224,perishable
20,FDN22,18.85,Regular,0.138190277,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,non
21,FDW12,12.277108208955255,Regular,0.035399923,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432,non
22,NCB30,14.6,Non-Edible,0.025698133999999997,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672,Others
23,FDC37,12.277108208955255,Low Fat,0.057556998,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876,non
24,FDR28,13.85,Regular,0.025896485,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025,non
